id,family,genus,taxon,trait,dstate,value,units,N
5759,Asteraceae,Artemisia,Artemisia dracunculus,Low elevation,NA,0,m,1
5760,Asteraceae,Artemisia,Artemisia ludoviciana,Low elevation,NA,0,m,1
5761,Asteraceae,Artemisia,Artemisia ludoviciana ssp. albula,Low elevation,NA,0,m,1
5762,Asteraceae,Artemisia,Artemisia ludoviciana ssp. candicans,Low elevation,NA,0,m,1
5763,Asteraceae,Artemisia,Artemisia ludoviciana ssp. incompta,Low elevation,NA,0,m,1
5764,Asteraceae,Artemisia,Artemisia ludoviciana ssp. ludoviciana,Low elevation,NA,0,m,1
5765,Asteraceae,Artemisia,Artemisia michauxiana,Low elevation,NA,3000,m,1
5766,Asteraceae,Artemisia,Artemisia nesiotica,Low elevation,NA,0,m,1
5767,Asteraceae,Artemisia,Artemisia norvegica ssp. saxatilis,Low elevation,NA,2300,m,1
5768,Asteraceae,Artemisia,Artemisia nova,Low elevation,NA,0,m,1
5769,Asteraceae,Artemisia,Artemisia palmeri,Low elevation,NA,0,m,1
5770,Asteraceae,Artemisia,Artemisia rothrockii,Low elevation,NA,2000,m,1
5771,Asteraceae,Artemisia,Artemisia spiciformis,Low elevation,NA,2100,m,1
5772,Asteraceae,Artemisia,Artemisia spinescens,Low elevation,NA,900,m,1
5773,Asteraceae,Artemisia,Artemisia suksdorfii,Low elevation,NA,0,m,1
5774,Asteraceae,Artemisia,Artemisia tridentata,Low elevation,NA,300,m,1
5775,Asteraceae,Artemisia,Artemisia tridentata ssp. vaseyana,Low elevation,NA,1800,m,1
5776,Asteraceae,Artemisia,Artemisia tridentata ssp. wyomingensis,Low elevation,NA,0,m,1
5777,Araceae,Arum,Arum italicum,Low elevation,NA,0,m,1
5778,Poaceae,Arundo,Arundo donax,Low elevation,NA,0,m,1
5779,Aristolochiaceae,Asarum,Asarum caudatum,Low elevation,NA,0,m,1
5780,Aristolochiaceae,Asarum,Asarum lemmonii,Low elevation,NA,1100,m,1
5781,Aristolochiaceae,Asarum,Asarum marmoratum,Low elevation,NA,200,m,1
5782,Asclepiadaceae,Asclepias,Asclepias asperula ssp. asperula,Low elevation,NA,1500,m,1
5783,Asclepiadaceae,Asclepias,Asclepias californica,Low elevation,NA,200,m,1
5784,Asclepiadaceae,Asclepias,Asclepias cryptoceras,Low elevation,NA,1400,m,1
5785,Asclepiadaceae,Asclepias,Asclepias curassavica,Low elevation,NA,0,m,1
5786,Asclepiadaceae,Asclepias,Asclepias linaria,Low elevation,NA,1000,m,1
5787,Asclepiadaceae,Asclepias,Asclepias nyctaginifolia,Low elevation,NA,1000,m,1
5788,Asclepiadaceae,Asclepias,Asclepias solanoana,Low elevation,NA,700,m,1
5789,Liliaceae,Asparagus,Asparagus asparagoides,Low elevation,NA,0,m,1
5790,Liliaceae,Asparagus,Asparagus officinalis ssp. officinalis,Low elevation,NA,0,m,1
5791,Boraginaceae,Asperugo,Asperugo procumbens,Low elevation,NA,1000,m,1
5792,Liliaceae,Asphodelus,Asphodelus fistulosus,Low elevation,NA,0,m,1
5793,Pteridaceae,Aspidotis,Aspidotis californica,Low elevation,NA,0,m,1
5794,Pteridaceae,Aspidotis,Aspidotis carlotta-halliae,Low elevation,NA,100,m,1
5795,Pteridaceae,Aspidotis,Aspidotis densa,Low elevation,NA,100,m,1
5796,Aspleniaceae,Asplenium,Asplenium septentrionale,Low elevation,NA,2500,m,1
5797,Aspleniaceae,Asplenium,Asplenium trichomanes ssp. trichomanes,Low elevation,NA,100,m,1
5798,Aspleniaceae,Asplenium,Asplenium trichomanes-ramosum,Low elevation,NA,1900,m,1
5799,Aspleniaceae,Asplenium,Asplenium vespertinum,Low elevation,NA,500,m,1
5800,Asteraceae,Aster,Aster alpigenus var. andersonii,Low elevation,NA,1500,m,1
5801,Asteraceae,Aster,Aster bernardinus,Low elevation,NA,0,m,1
5802,Asteraceae,Aster,Aster breweri,Low elevation,NA,1500,m,1
5803,Asteraceae,Aster,Aster brickellioides,Low elevation,NA,600,m,1
5804,Asteraceae,Aster,Aster campestris,Low elevation,NA,1800,m,1
5805,Asteraceae,Aster,Aster eatonii,Low elevation,NA,500,m,1
5806,Asteraceae,Aster,Aster engelmannii,Low elevation,NA,1800,m,1
5807,Asteraceae,Aster,Aster foliaceus,Low elevation,NA,1400,m,1
5808,Asteraceae,Aster,Aster foliaceus var. lyallii,Low elevation,NA,1500,m,1
5809,Asteraceae,Aster,Aster foliaceus var. parryi,Low elevation,NA,1400,m,1
5810,Asteraceae,Aster,Aster frondosus,Low elevation,NA,700,m,1
5811,Asteraceae,Aster,Aster greatae,Low elevation,NA,800,m,1
5812,Asteraceae,Aster,Aster integrifolius,Low elevation,NA,1600,m,1
5813,Asteraceae,Aster,Aster lanceolatus ssp. hesperius,Low elevation,NA,0,m,1
5814,Asteraceae,Aster,Aster ledophyllus,Low elevation,NA,1300,m,1
5815,Asteraceae,Aster,Aster lentus,Low elevation,NA,0,m,1
5816,Asteraceae,Aster,Aster occidentalis var. occidentalis,Low elevation,NA,1200,m,1
5817,Asteraceae,Aster,Aster occidentalis var. yosemitanus,Low elevation,NA,1200,m,1
5818,Asteraceae,Aster,Aster oregonensis,Low elevation,NA,800,m,1
5819,Asteraceae,Aster,Aster pauciflorus,Low elevation,NA,200,m,1
5820,Asteraceae,Aster,Aster peirsonii,Low elevation,NA,3000,m,1
5821,Asteraceae,Aster,Aster radulinus,Low elevation,NA,100,m,1
5822,Asteraceae,Aster,Aster scopulorum,Low elevation,NA,1500,m,1
5823,Fabaceae,Astragalus,Astragalus accidens var. hendersonii,Low elevation,NA,0,m,1
5824,Fabaceae,Astragalus,Astragalus acutirostris,Low elevation,NA,600,m,1
5825,Fabaceae,Astragalus,Astragalus agnicidus,Low elevation,NA,700,m,1
5826,Fabaceae,Astragalus,Astragalus agrestis,Low elevation,NA,1600,m,1
5827,Fabaceae,Astragalus,Astragalus albens,Low elevation,NA,1200,m,1
5828,Fabaceae,Astragalus,Astragalus andersonii,Low elevation,NA,1300,m,1
5829,Fabaceae,Astragalus,Astragalus anxius,Low elevation,NA,1500,m,1
5830,Fabaceae,Astragalus,Astragalus argophyllus var. argophyllus,Low elevation,NA,1400,m,1
5831,Fabaceae,Astragalus,Astragalus aridus,Low elevation,NA,0,m,1
5832,Fabaceae,Astragalus,Astragalus asymmetricus,Low elevation,NA,0,m,1
5833,Fabaceae,Astragalus,Astragalus atratus var. mensanus,Low elevation,NA,1700,m,1
5834,Fabaceae,Astragalus,Astragalus austiniae,Low elevation,NA,2700,m,1
5835,Fabaceae,Astragalus,Astragalus bernardinus,Low elevation,NA,900,m,1
5836,Fabaceae,Astragalus,Astragalus bicristatus,Low elevation,NA,1700,m,1
5837,Fabaceae,Astragalus,Astragalus bolanderi,Low elevation,NA,1500,m,1
5838,Fabaceae,Astragalus,Astragalus brauntonii,Low elevation,NA,0,m,1
5839,Fabaceae,Astragalus,Astragalus breweri,Low elevation,NA,0,m,1
5840,Fabaceae,Astragalus,Astragalus californicus,Low elevation,NA,300,m,1
5841,Fabaceae,Astragalus,Astragalus calycosus var. calycosus,Low elevation,NA,1500,m,1
5842,Fabaceae,Astragalus,Astragalus casei,Low elevation,NA,1200,m,1
5843,Fabaceae,Astragalus,Astragalus cimae,Low elevation,NA,1400,m,1
5844,Fabaceae,Astragalus,Astragalus cimae var. cimae,Low elevation,NA,1400,m,1
5845,Fabaceae,Astragalus,Astragalus cimae var. sufflatus,Low elevation,NA,1500,m,1
5846,Fabaceae,Astragalus,Astragalus clarianus,Low elevation,NA,100,m,1
5847,Fabaceae,Astragalus,Astragalus clevelandii,Low elevation,NA,200,m,1
5848,Fabaceae,Astragalus,Astragalus congdonii,Low elevation,NA,100,m,1
5849,Fabaceae,Astragalus,Astragalus crotalariae,Low elevation,NA,0,m,1
5850,Fabaceae,Astragalus,Astragalus curtipes,Low elevation,NA,0,m,1
5851,Fabaceae,Astragalus,Astragalus curvicarpus var. curvicarpus,Low elevation,NA,1300,m,1
5852,Fabaceae,Astragalus,Astragalus deanei,Low elevation,NA,200,m,1
5853,Fabaceae,Astragalus,Astragalus didymocarpus,Low elevation,NA,0,m,1
5854,Fabaceae,Astragalus,Astragalus didymocarpus var. didymocarpus,Low elevation,NA,0,m,1
5855,Fabaceae,Astragalus,Astragalus didymocarpus var. dispermus,Low elevation,NA,0,m,1
5856,Fabaceae,Astragalus,Astragalus didymocarpus var. milesianus,Low elevation,NA,0,m,1
5857,Fabaceae,Astragalus,Astragalus didymocarpus var. obispoensis,Low elevation,NA,400,m,1
5858,Fabaceae,Astragalus,Astragalus douglasii,Low elevation,NA,100,m,1
5859,Fabaceae,Astragalus,Astragalus douglasii var. douglasii,Low elevation,NA,0,m,1
5860,Fabaceae,Astragalus,Astragalus douglasii var. perstrictus,Low elevation,NA,900,m,1
5861,Fabaceae,Astragalus,Astragalus ertterae,Low elevation,NA,1700,m,1
5862,Fabaceae,Astragalus,Astragalus filipes,Low elevation,NA,1600,m,1
5863,Fabaceae,Astragalus,Astragalus funereus,Low elevation,NA,1300,m,1
5864,Fabaceae,Astragalus,Astragalus geyeri var. geyeri,Low elevation,NA,1500,m,1
5865,Fabaceae,Astragalus,Astragalus gibbsii,Low elevation,NA,1300,m,1
5866,Fabaceae,Astragalus,Astragalus gilmanii,Low elevation,NA,2000,m,1
5867,Fabaceae,Astragalus,Astragalus hornii var. hornii,Low elevation,NA,60,m,1
5868,Fabaceae,Astragalus,Astragalus insularis var. harwoodii,Low elevation,NA,0,m,1
5869,Fabaceae,Astragalus,Astragalus inversus,Low elevation,NA,1200,m,1
5870,Fabaceae,Astragalus,Astragalus inyoensis,Low elevation,NA,1500,m,1
5871,Fabaceae,Astragalus,Astragalus iodanthus var. iodanthus,Low elevation,NA,1200,m,1
5872,Fabaceae,Astragalus,Astragalus jaegerianus,Low elevation,NA,900,m,1
5873,Fabaceae,Astragalus,Astragalus johannis-howellii,Low elevation,NA,2100,m,1
5874,Fabaceae,Astragalus,Astragalus kentrophyta,Low elevation,NA,2200,m,1
5875,Fabaceae,Astragalus,Astragalus kentrophyta var. danaus,Low elevation,NA,3000,m,1
5876,Fabaceae,Astragalus,Astragalus kentrophyta var. elatus,Low elevation,NA,2900,m,1
5877,Fabaceae,Astragalus,Astragalus kentrophyta var. tegetarius,Low elevation,NA,2700,m,1
5878,Fabaceae,Astragalus,Astragalus lemmonii,Low elevation,NA,1300,m,1
5879,Fabaceae,Astragalus,Astragalus lentiformis,Low elevation,NA,1500,m,1
5880,Fabaceae,Astragalus,Astragalus lentiginosus,Low elevation,NA,0,m,1
5881,Fabaceae,Astragalus,Astragalus lentiginosus var. antonius,Low elevation,NA,1500,m,1
5882,Fabaceae,Astragalus,Astragalus lentiginosus var. borreganus,Low elevation,NA,0,m,1
5883,Fabaceae,Astragalus,Astragalus lentiginosus var. coachellae,Low elevation,NA,0,m,1
5884,Fabaceae,Astragalus,Astragalus lentiginosus var. floribundus,Low elevation,NA,1100,m,1
5885,Fabaceae,Astragalus,Astragalus lentiginosus var. idriensis,Low elevation,NA,600,m,1
5886,Fabaceae,Astragalus,Astragalus lentiginosus var. ineptus,Low elevation,NA,2000,m,1
5887,Fabaceae,Astragalus,Astragalus lentiginosus var. kernensis,Low elevation,NA,2300,m,1
5888,Fabaceae,Astragalus,Astragalus lentiginosus var. lentiginosus,Low elevation,NA,900,m,1
5889,Fabaceae,Astragalus,Astragalus lentiginosus var. micans,Low elevation,NA,800,m,1
5890,Fabaceae,Astragalus,Astragalus lentiginosus var. nigricalycis,Low elevation,NA,100,m,1
5891,Fabaceae,Astragalus,Astragalus lentiginosus var. piscinensis,Low elevation,NA,1200,m,1
5892,Fabaceae,Astragalus,Astragalus lentiginosus var. platyphyllidius,Low elevation,NA,1000,m,1
5893,Fabaceae,Astragalus,Astragalus lentiginosus var. salinus,Low elevation,NA,1000,m,1
5894,Fabaceae,Astragalus,Astragalus lentiginosus var. semotus,Low elevation,NA,2400,m,1
5895,Fabaceae,Astragalus,Astragalus lentiginosus var. sesquimetralis,Low elevation,NA,900,m,1
5896,Fabaceae,Astragalus,Astragalus lentiginosus var. sierrae,Low elevation,NA,1800,m,1
5897,Fabaceae,Astragalus,Astragalus leucolobus,Low elevation,NA,1700,m,1
5898,Fabaceae,Astragalus,Astragalus macrodon,Low elevation,NA,300,m,1
5899,Fabaceae,Astragalus,Astragalus magdalenae var. peirsonii,Low elevation,NA,0,m,1
5900,Fabaceae,Astragalus,Astragalus malacus,Low elevation,NA,1000,m,1
5901,Fabaceae,Astragalus,Astragalus minthorniae var. villosus,Low elevation,NA,1300,m,1
5902,Fabaceae,Astragalus,Astragalus mohavensis,Low elevation,NA,700,m,1
5903,Fabaceae,Astragalus,Astragalus mohavensis var. hemigyrus,Low elevation,NA,1200,m,1
5904,Fabaceae,Astragalus,Astragalus mohavensis var. mohavensis,Low elevation,NA,700,m,1
5905,Fabaceae,Astragalus,Astragalus monoensis,Low elevation,NA,2200,m,1
5906,Fabaceae,Astragalus,Astragalus nutans,Low elevation,NA,400,m,1
5907,Fabaceae,Astragalus,Astragalus nuttallianus,Low elevation,NA,0,m,1
5908,Fabaceae,Astragalus,Astragalus nuttallianus var. austrinus,Low elevation,NA,600,m,1
5909,Fabaceae,Astragalus,Astragalus nuttallianus var. cedrosensis,Low elevation,NA,0,m,1
5910,Fabaceae,Astragalus,Astragalus nuttallianus var. imperfectus,Low elevation,NA,300,m,1
5911,Fabaceae,Astragalus,Astragalus nuttallii var. nuttallii,Low elevation,NA,0,m,1
5912,Fabaceae,Astragalus,Astragalus nuttallii var. virgatus,Low elevation,NA,0,m,1
5913,Fabaceae,Astragalus,Astragalus obscurus,Low elevation,NA,800,m,1
5914,Fabaceae,Astragalus,Astragalus oocarpus,Low elevation,NA,600,m,1
5915,Fabaceae,Astragalus,Astragalus oophorus,Low elevation,NA,1500,m,1
5916,Fabaceae,Astragalus,Astragalus oophorus var. lavinii,Low elevation,NA,2400,m,1
5917,Fabaceae,Astragalus,Astragalus oophorus var. oophorus,Low elevation,NA,1500,m,1
5918,Fabaceae,Astragalus,Astragalus oxyphysus,Low elevation,NA,100,m,1
5919,Fabaceae,Astragalus,Astragalus pachypus,Low elevation,NA,500,m,1
5920,Fabaceae,Astragalus,Astragalus pachypus var. jaegeri,Low elevation,NA,500,m,1
5921,Fabaceae,Astragalus,Astragalus pachypus var. pachypus,Low elevation,NA,500,m,1
5922,Fabaceae,Astragalus,Astragalus palmeri,Low elevation,NA,100,m,1
5923,Fabaceae,Astragalus,Astragalus panamintensis,Low elevation,NA,1200,m,1
5924,Fabaceae,Astragalus,Astragalus pauperculus,Low elevation,NA,100,m,1
5925,Fabaceae,Astragalus,Astragalus platytropis,Low elevation,NA,2800,m,1
5926,Fabaceae,Astragalus,Astragalus pomonensis,Low elevation,NA,0,m,1
5927,Fabaceae,Astragalus,Astragalus preussii,Low elevation,NA,700,m,1
5928,Fabaceae,Astragalus,Astragalus preussii var. laxiflorus,Low elevation,NA,600,m,1
5929,Fabaceae,Astragalus,Astragalus preussii var. preussii,Low elevation,NA,700,m,1
5930,Fabaceae,Astragalus,Astragalus pseudiodanthus,Low elevation,NA,1900,m,1
5931,Fabaceae,Astragalus,Astragalus pulsiferae,Low elevation,NA,1300,m,1
5932,Fabaceae,Astragalus,Astragalus pulsiferae var. pulsiferae,Low elevation,NA,1300,m,1
5933,Fabaceae,Astragalus,Astragalus pulsiferae var. suksdorfii,Low elevation,NA,1200,m,1
5934,Fabaceae,Astragalus,Astragalus purshii,Low elevation,NA,400,m,1
5935,Fabaceae,Astragalus,Astragalus purshii var. lagopinus,Low elevation,NA,900,m,1
5936,Fabaceae,Astragalus,Astragalus purshii var. lectulus,Low elevation,NA,1800,m,1
5937,Fabaceae,Astragalus,Astragalus purshii var. purshii,Low elevation,NA,1000,m,1
5938,Fabaceae,Astragalus,Astragalus purshii var. tinctus,Low elevation,NA,400,m,1
5939,Fabaceae,Astragalus,Astragalus pycnostachyus,Low elevation,NA,0,m,1
5940,Fabaceae,Astragalus,Astragalus pycnostachyus var. lanosissimus,Low elevation,NA,0,m,1
5941,Fabaceae,Astragalus,Astragalus pycnostachyus var. pycnostachyus,Low elevation,NA,0,m,1
5942,Fabaceae,Astragalus,Astragalus rattanii,Low elevation,NA,0,m,1
5943,Fabaceae,Astragalus,Astragalus rattanii var. jepsonianus,Low elevation,NA,300,m,1
5944,Fabaceae,Astragalus,Astragalus rattanii var. rattanii,Low elevation,NA,0,m,1
5945,Fabaceae,Astragalus,Astragalus ravenii,Low elevation,NA,3400,m,1
5946,Fabaceae,Astragalus,Astragalus sabulonum,Low elevation,NA,0,m,1
5947,Fabaceae,Astragalus,Astragalus sepultipes,Low elevation,NA,1800,m,1
5948,Fabaceae,Astragalus,Astragalus serenoi var. shockleyi,Low elevation,NA,1500,m,1
5949,Fabaceae,Astragalus,Astragalus shevockii,Low elevation,NA,1800,m,1
5950,Fabaceae,Astragalus,Astragalus subvestitus,Low elevation,NA,2400,m,1
5951,Fabaceae,Astragalus,Astragalus tener,Low elevation,NA,0,m,1
5952,Fabaceae,Astragalus,Astragalus tener var. ferrisiae,Low elevation,NA,0,m,1
5953,Fabaceae,Astragalus,Astragalus tener var. tener,Low elevation,NA,0,m,1
5954,Fabaceae,Astragalus,Astragalus tener var. titi,Low elevation,NA,0,m,1
5955,Fabaceae,Astragalus,Astragalus tephrodes var. brachylobus,Low elevation,NA,100,m,1
5956,Fabaceae,Astragalus,Astragalus tidestromii,Low elevation,NA,600,m,1
5957,Fabaceae,Astragalus,Astragalus traskiae,Low elevation,NA,0,m,1
5958,Fabaceae,Astragalus,Astragalus tricarinatus,Low elevation,NA,450,m,1
5959,Fabaceae,Astragalus,Astragalus trichopodus,Low elevation,NA,0,m,1
5960,Fabaceae,Astragalus,Astragalus trichopodus var. lonchus,Low elevation,NA,0,m,1
5961,Fabaceae,Astragalus,Astragalus trichopodus var. trichopodus,Low elevation,NA,0,m,1
5962,Fabaceae,Astragalus,Astragalus umbraticus,Low elevation,NA,200,m,1
5963,Fabaceae,Astragalus,Astragalus webberi,Low elevation,NA,800,m,1
5964,Fabaceae,Astragalus,Astragalus whitneyi,Low elevation,NA,800,m,1
5965,Fabaceae,Astragalus,Astragalus whitneyi var. confusus,Low elevation,NA,1300,m,1
5966,Fabaceae,Astragalus,Astragalus whitneyi var. lenophyllus,Low elevation,NA,2600,m,1
5967,Fabaceae,Astragalus,Astragalus whitneyi var. siskiyouensis,Low elevation,NA,700,m,1
5968,Fabaceae,Astragalus,Astragalus whitneyi var. whitneyi,Low elevation,NA,2000,m,1
5969,Pteridaceae,Astrolepis,Astrolepis cochisensis,Low elevation,NA,900,m,1
5970,Dryopteridaceae,Athyrium,Athyrium alpestre var. americanum,Low elevation,NA,1700,m,1
5971,Dryopteridaceae,Athyrium,Athyrium filix-femina var. cyclosorum,Low elevation,NA,0,m,1
5972,Asteraceae,Atrichoseris,Atrichoseris platyphylla,Low elevation,NA,0,m,1
5973,Chenopodiaceae,Atriplex,Atriplex argentea,Low elevation,NA,0,m,1
5974,Chenopodiaceae,Atriplex,Atriplex argentea var. argentea,Low elevation,NA,0,m,1
5975,Chenopodiaceae,Atriplex,Atriplex argentea var. hillmanii,Low elevation,NA,1200,m,1
5976,Chenopodiaceae,Atriplex,Atriplex argentea var. mohavensis,Low elevation,NA,0,m,1
5977,Chenopodiaceae,Atriplex,Atriplex canescens ssp. canescens,Low elevation,NA,0,m,1
5978,Chenopodiaceae,Atriplex,Atriplex canescens ssp. linearis,Low elevation,NA,0,m,1
5979,Chenopodiaceae,Atriplex,Atriplex confertifolia,Low elevation,NA,0,m,1
5980,Chenopodiaceae,Atriplex,Atriplex cordulata,Low elevation,NA,0,m,1
5981,Chenopodiaceae,Atriplex,Atriplex coronata,Low elevation,NA,0,m,1
5982,Chenopodiaceae,Atriplex,Atriplex coronata var. coronata,Low elevation,NA,0,m,1
5983,Chenopodiaceae,Atriplex,Atriplex coronata var. notatior,Low elevation,NA,400,m,1
5984,Chenopodiaceae,Atriplex,Atriplex coulteri,Low elevation,NA,0,m,1
5985,Chenopodiaceae,Atriplex,Atriplex depressa,Low elevation,NA,0,m,1
5986,Chenopodiaceae,Atriplex,Atriplex elegans,Low elevation,NA,0,m,1
5987,Chenopodiaceae,Atriplex,Atriplex elegans var. elegans,Low elevation,NA,0,m,1
5988,Chenopodiaceae,Atriplex,Atriplex elegans var. fasciculata,Low elevation,NA,0,m,1
5989,Chenopodiaceae,Atriplex,Atriplex fruticulosa,Low elevation,NA,0,m,1
5990,Chenopodiaceae,Atriplex,Atriplex gardneri var. falcata,Low elevation,NA,1200,m,1
5991,Chenopodiaceae,Atriplex,Atriplex heterosperma,Low elevation,NA,0,m,1
5992,Chenopodiaceae,Atriplex,Atriplex hortensis,Low elevation,NA,0,m,1
5993,Chenopodiaceae,Atriplex,Atriplex joaquiniana,Low elevation,NA,0,m,1
5994,Chenopodiaceae,Atriplex,Atriplex lentiformis ssp. lentiformis,Low elevation,NA,0,m,1
5995,Chenopodiaceae,Atriplex,Atriplex lentiformis ssp. torreyi,Low elevation,NA,300,m,1
5996,Chenopodiaceae,Atriplex,Atriplex leucophylla,Low elevation,NA,0,m,1
5997,Chenopodiaceae,Atriplex,Atriplex lindleyi,Low elevation,NA,0,m,1
5998,Chenopodiaceae,Atriplex,Atriplex minuscula,Low elevation,NA,0,m,1
5999,Chenopodiaceae,Atriplex,Atriplex nummularia,Low elevation,NA,0,m,1
6000,Chenopodiaceae,Atriplex,Atriplex pacifica,Low elevation,NA,0,m,1
6001,Chenopodiaceae,Atriplex,Atriplex parishii,Low elevation,NA,0,m,1
6002,Chenopodiaceae,Atriplex,Atriplex parryi,Low elevation,NA,0,m,1
6003,Chenopodiaceae,Atriplex,Atriplex patula,Low elevation,NA,0,m,1
6004,Chenopodiaceae,Atriplex,Atriplex patula var. obtusa,Low elevation,NA,0,m,1
6005,Chenopodiaceae,Atriplex,Atriplex patula var. patula,Low elevation,NA,0,m,1
6006,Chenopodiaceae,Atriplex,Atriplex phyllostegia,Low elevation,NA,0,m,1
6007,Chenopodiaceae,Atriplex,Atriplex pusilla,Low elevation,NA,1300,m,1
6008,Chenopodiaceae,Atriplex,Atriplex rosea,Low elevation,NA,0,m,1
6009,Chenopodiaceae,Atriplex,Atriplex serenana,Low elevation,NA,0,m,1
6010,Chenopodiaceae,Atriplex,Atriplex serenana var. davidsonii,Low elevation,NA,0,m,1
6011,Chenopodiaceae,Atriplex,Atriplex serenana var. serenana,Low elevation,NA,0,m,1
6012,Chenopodiaceae,Atriplex,Atriplex spinifera,Low elevation,NA,0,m,1
6013,Chenopodiaceae,Atriplex,Atriplex suberecta,Low elevation,NA,0,m,1
6014,Chenopodiaceae,Atriplex,Atriplex subspicata,Low elevation,NA,0,m,1
6015,Chenopodiaceae,Atriplex,Atriplex truncata,Low elevation,NA,600,m,1
6016,Chenopodiaceae,Atriplex,Atriplex tularensis,Low elevation,NA,0,m,1
6017,Chenopodiaceae,Atriplex,Atriplex vallicola,Low elevation,NA,0,m,1
6018,Chenopodiaceae,Atriplex,Atriplex watsonii,Low elevation,NA,0,m,1
6019,Brassicaceae,Aubrieta,Aubrieta deltoidea,Low elevation,NA,1500,m,1
6020,Poaceae,Avena,Avena sativa,Low elevation,NA,0,m,1
6021,Poaceae,Avena,Avena sterilis,Low elevation,NA,0,m,1
6022,Poaceae,Avena,Avena strigosa,Low elevation,NA,0,m,1
6023,Verbenaceae,Avicennia,Avicennia marina var. resinifera,Low elevation,NA,0,m,1
6024,Poaceae,Axonopus,Axonopus affinis,Low elevation,NA,0,m,1
6025,Sterculiaceae,Ayenia,Ayenia compacta,Low elevation,NA,0,m,1
6026,Azollaceae,Azolla,Azolla filiculoides,Low elevation,NA,0,m,1
6027,Azollaceae,Azolla,Azolla mexicana,Low elevation,NA,100,m,1
6028,Asteraceae,Baccharis,Baccharis brachyphylla,Low elevation,NA,300,m,1
6029,Asteraceae,Baccharis,Baccharis plummerae,Low elevation,NA,0,m,1
6030,Asteraceae,Baccharis,Baccharis plummerae ssp. glabrata,Low elevation,NA,0,m,1
6031,Asteraceae,Baccharis,Baccharis plummerae ssp. plummerae,Low elevation,NA,0,m,1
6032,Asteraceae,Baccharis,Baccharis vanessae,Low elevation,NA,0,m,1
6033,Scrophulariaceae,Bacopa,Bacopa eisenii,Low elevation,NA,0,m,1
6034,Scrophulariaceae,Bacopa,Bacopa monnieri,Low elevation,NA,0,m,1
6035,Scrophulariaceae,Bacopa,Bacopa repens,Low elevation,NA,0,m,1
6036,Scrophulariaceae,Bacopa,Bacopa rotundifolia,Low elevation,NA,0,m,1
6037,Asteraceae,Bahia,Bahia dissecta,Low elevation,NA,1800,m,1
6038,Asteraceae,Baileya,Baileya multiradiata var. multiradiata,Low elevation,NA,600,m,1
6039,Asteraceae,Baileya,Baileya pauciradiata,Low elevation,NA,0,m,1
6040,Asteraceae,Balsamorhiza,Balsamorhiza deltoidea,Low elevation,NA,300,m,1
6041,Asteraceae,Balsamorhiza,Balsamorhiza hirsuta,Low elevation,NA,1400,m,1
6042,Asteraceae,Balsamorhiza,Balsamorhiza macrolepis,Low elevation,NA,0,m,1
6043,Asteraceae,Balsamorhiza,Balsamorhiza macrolepis var. macrolepis,Low elevation,NA,0,m,1
6044,Asteraceae,Balsamorhiza,Balsamorhiza macrolepis var. platylepis,Low elevation,NA,1300,m,1
6045,Asteraceae,Balsamorhiza,Balsamorhiza sericea,Low elevation,NA,0,m,1
6046,Asteraceae,Balsamorhiza,Balsamorhiza serrata,Low elevation,NA,1400,m,1
6047,Brassicaceae,Barbarea,Barbarea orthoceras,Low elevation,NA,700,m,1
6048,Brassicaceae,Barbarea,Barbarea verna,Low elevation,NA,0,m,1
6049,Brassicaceae,Barbarea,Barbarea vulgaris,Low elevation,NA,0,m,1
6050,Chenopodiaceae,Bassia,Bassia hyssopifolia,Low elevation,NA,0,m,1
6051,Bataceae,Batis,Batis maritima,Low elevation,NA,0,m,1
6052,Scrophulariaceae,Bellardia,Bellardia trixago,Low elevation,NA,0,m,1
6053,Saxifragaceae,Bensoniella,Bensoniella oregona,Low elevation,NA,1000,m,1
6054,Berberidaceae,Berberis,Berberis haematocarpa,Low elevation,NA,1000,m,1
6055,Berberidaceae,Berberis,Berberis pinnata ssp. insularis,Low elevation,NA,0,m,1
6056,Berberidaceae,Berberis,Berberis pinnata ssp. pinnata,Low elevation,NA,0,m,1
6057,Cactaceae,Bergerocactus,Bergerocactus emoryi,Low elevation,NA,0,m,1
6058,Elatinaceae,Bergia,Bergia texana,Low elevation,NA,0,m,1
6059,Euphorbiaceae,Bernardia,Bernardia myricifolia,Low elevation,NA,0,m,1
6060,Apiaceae,Berula,Berula erecta,Low elevation,NA,0,m,1
6061,Chenopodiaceae,Beta,Beta vulgaris,Low elevation,NA,0,m,1
6062,Asteraceae,Bidens,Bidens cernua var. cernua,Low elevation,NA,0,m,1
6063,Asteraceae,Bidens,Bidens tripartita,Low elevation,NA,0,m,1
6064,Asteraceae,Bidens,Bidens vulgata,Low elevation,NA,0,m,1
6065,Blechnaceae,Blechnum,Blechnum spicant,Low elevation,NA,0,m,1
6066,Asteraceae,Blennosperma,Blennosperma nanum var. nanum,Low elevation,NA,0,m,1
6067,Asteraceae,Blennosperma,Blennosperma nanum var. robustum,Low elevation,NA,0,m,1
6068,Poaceae,Blepharidachne,Blepharidachne kingii,Low elevation,NA,1300,m,1
6069,Asteraceae,Blepharipappus,Blepharipappus scaber,Low elevation,NA,1000,m,1
6070,Asteraceae,Blepharizonia,Blepharizonia plumosa,Low elevation,NA,0,m,1
